pdf file names,grant ID(grant number),paper ID (DOI)
10.1002_jbmr.2538.pdf,['(2011-01-010'],10.1002/jbmr.2538
10.1016_j.ajpath.2014.04.006.pdf,[' 2011-01-018'],10.1016/j.ajpath.2014.04.006
10.1016_j.ajpath.2015.10.023.pdf,"['\n2014-04-001', ' 2015-05-007']",10.1016/j.ajpath.2015.10.023
10.1016_j.cancergen.2015.02.003.pdf,['2014A-05-016'],10.1016/j.cancergen.2015.02.003
10.1016_j.ccr.2014.05.001.pdf,['\n2009-01-013'],10.1016/j.ccr.2014.05.001
10.1016_j.conb.2017.08.003.pdf,[' 2016-01-006'],10.1016/j.conb.2017.08.003
10.1016_j.devcel.2017.02.004.pdf,"['(2013-01-020', ' 2014-01-020']",10.1016/j.devcel.2017.02.004
10.1016_j.neuron.2017.05.020.pdf,['(2016-01-006'],10.1016/j.neuron.2017.05.020
10.1016_j.neuroscience.2018.02.025.pdf,['(2015-04-009'],10.1016/j.neuroscience.2018.02.025
10.1016_j.neuroscience.2018.04.002.pdf,"['(2015-04-009', '(2015-01-011']",10.1016/j.neuroscience.2018.04.002
10.1016_j.pscychresns.2017.06.003.pdf,['\n2011-10-001'],10.1016/j.pscychresns.2017.06.003
10.1016_j.ymgme.2018.02.009.pdf,['2013B-05-009'],10.1016/j.ymgme.2018.02.009
10.1038_ng.2552.pdf,['(2011-01-006'],10.1038/ng.2552
10.1038_ng.2641.pdf,['#2011-01-018'],10.1038/ng.2641
10.1038_s41467-017-00346-5.pdf,"['\n2008-02-007', ' 2011-02-010']",10.1038/s41467-017-00346-5
10.1093_hmg_ddu414.pdf,['(2012-01-013'],10.1093/hmg/ddu414
10.1093_neuonc_not150.pdf,['\n2010-10-011'],10.1093/neuonc/not150
10.1111_nan.12330.pdf,[' 2015-05-010'],10.1111/nan.12330
10.1126_sciadv.aao5520.pdf,['(2016-01-006'],10.1126/sciadv.aao5520
10.1128_MCB.00332-09.pdf,"['\n2007-01-043', ' 2005-01-004']",10.1128/MCB.00332-09
10.1155_2012_620834.pdf,[' 2011-01-018'],10.1155/2012/620834
10.1158_0008-5472.CAN-10-1219.pdf,[' 2007-01-043'],10.1158/0008-5472.CAN-10-1219
10.1158_1535-7163.MCT-09-0834.pdf,['2008A-05-001'],10.1158/1535-7163.MCT-09-0834
10.1172_JCI71048.pdf,['\n2012-01-036'],10.1172/JCI71048
10.1172_JCI85183.pdf,['(2012-01-023'],10.1172/JCI85183
10.1186_1741-7015-9-82.pdf,[' 2007-01-038'],10.1186/1741-7015-9-82
10.1186_1755-8794-2-42.pdf,['(2005-01-004'],10.1186/1755-8794-2-42
10.1371_journal.pone.0046900.pdf,[' 2011-01-010'],10.1371/journal.pone.0046900
10.1371_journal.pone.0052874.pdf,[' 2009-01-014'],10.1371/journal.pone.0052874
10.1371_journal.pone.0096114.pdf,['(2011-01-018'],10.1371/journal.pone.0096114
10.1371_journal.pone.0119093.pdf,['(2011-01-010'],10.1371/journal.pone.0119093
10.1371_journal.pone.0159718.pdf,[' 2015-05-010'],10.1371/journal.pone.0159718
10.1677_ERC-09-0068.pdf,[' 2006-01-026'],10.1677/ERC-09-0068
10.18632_oncotarget.1609.pdf,['(2011-01-018'],10.18632/oncotarget.1609
10.18632_oncotarget.251.pdf,[' 2007-01-043'],10.18632/oncotarget.251
10.3389_fonc.2017.00058.pdf,['2016A-05-009'],10.3389/fonc.2017.00058
10.7554_eLife.11123.pdf,['#2015-01-013'],10.7554/eLife.11123
