researcher name,grant years,paper1,paper2,paper3,paper4,paper5,paper6
Scott R Plotkin,[2012],10.1038_ncponc115.txt,,,,,
Laura Papi,[2012],"10.1038_ejhg.2014.220.txt , 10.1002_ajmg.a.35760.txt",,,,,
Jonathan Chernoff,"[2008, 2010, 2013]","10.1016_j.biochi.2017.01.001.txt , 10.18632_oncotarget.2810.txt , 10.1128_MCB.00630-15.txt , 10.1038_onc.2012.374.txt","10.18632_oncotarget.2810.txt , 10.1128_MCB.00630-15.txt , 10.1038_onc.2012.374.txt",,,,
Maria Acosta,"[2013, 2013, 2014]",,,,,,
Joseph Kissil,"[2010, 2013, 2016]","10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.18632_oncotarget.4858.txt","10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.18632_oncotarget.4858.txt",10.18632_oncotarget.4858.txt,,,
Pamela Vanderzalm,[2014],,,,,,
Andrea Rasola,[2017],,,,,,
Rebecca Dodd,[2014],,,,,,
Stefan M. Pfister,[2018],,,,,,
Huarui Zheng,[2010],10.1016_j.ccr.2008.01.002.txt,,,,,
Mohensi Jahanshahi,[2011],,,,,,
Kyle Brandon Williams,[2019],,,,,,
Verena Staedtke,[2017],,,,,,
Margaret Wallace,"[2009, 2011, 2011, 2013, 2017]","10.18632_oncotarget.1609.txt , 10.7554_eLife.23966.txt , 10.1158_0008-5472.CAN-05-3330.txt , 10.1038_ng.2641.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.1111_j.1349-7006.2010.01616.x.txt","10.1038_ng.2641.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.1111_j.1349-7006.2010.01616.x.txt","10.1038_ng.2641.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.1111_j.1349-7006.2010.01616.x.txt","10.1038_ng.2641.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.1111_j.1349-7006.2010.01616.x.txt",,
Jean De la Croix Ndong,[2014],10.1038_nm.3583.txt,,,,,
Angela Hadjipanayis,[2008],10.1038_nature11252.txt,,,,,
Sybil Williams,[2009],,,,,,
Wu Xu,[2012],,,,,,
Walker James,[2015],,,,,,
Aaron Schindeler,"[2010, 2014]","10.1002_jbmr.528.txt , 10.1002_ajmg.a.36754.txt , 10.1007_s11832-010-0293-3.txt , 10.1002_jor.22628.txt , 10.1002_ajmg.a.33189.txt , 10.1186_1471-2474-11-105.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.bone.2011.09.043.txt","10.1002_ajmg.a.33189.txt , 10.1186_1471-2474-11-105.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.bone.2011.09.043.txt",,,,
Monica Buchanan,[2008],,,,,,
Robert A Avery,[2012],,,,,,
Oliver Hanemann,[2008],"10.1038_nn.3348.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.ccr.2014.05.001.txt , 10.1593_neo.111060.txt , 10.1002_ajmg.a.34359.txt , 10.1212_WNL.0000000000002932.txt , 10.1002_ajmg.a.35760.txt , 10.1093_neuonc_noq012.txt , 10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.36793.txt , 10.1016_j.febslet.2012.03.016.txt , 10.1158_0008-5472.CAN-07-5849.txt",,,,,
