researcher name,grant start years,paper1,paper2,paper3,paper4,paper5,paper6
Mateusz Kolanczyk,[2007],"10.1093_hmg_ddm032.txt , 10.1002_ajmg.a.33045.txt , 10.1186_1471-2474-11-105.txt , 10.1186_1741-7015-9-82.txt , 10.1093_hmg_ddt515.txt , 10.1016_j.bone.2014.06.012.txt",,,,,
Marianne James,[2009],"10.1186_1755-8794-2-42.txt , 10.1083_jcb.201503081.txt",,,,,
Jianzhong Yu,[2011],10.1016_j.str.2013.07.008.txt,,,,,
Nancy Ratner,"[2012, 2013, 2014, 2013, 2015, 2015]","10.1155_2012_620834.txt , 10.1523_JNEUROSCI.3242-12.2012.txt , 10.1158_0008-5472.CAN-11-4092.txt , 10.1007_s00401-011-0905-0.txt , 10.1002_pbc.23015.txt , 10.1002_ajmg.a.35535.txt , 10.18632_oncotarget.844.txt , 10.1016_j.celrep.2013.08.011.txt , 10.1038_ng.2641.txt , 10.1002_ajmg.a.35760.txt , 10.1172_JCI60578.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_onc.2012.579.txt , 10.1158_1078-0432.CCR-13-0780.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt","10.18632_oncotarget.844.txt , 10.1016_j.celrep.2013.08.011.txt , 10.1038_ng.2641.txt , 10.1002_ajmg.a.35760.txt , 10.1172_JCI60578.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_onc.2012.579.txt , 10.1158_1078-0432.CCR-13-0780.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt","10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_onc.2012.579.txt , 10.1158_1078-0432.CCR-13-0780.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt","10.18632_oncotarget.844.txt , 10.1016_j.celrep.2013.08.011.txt , 10.1038_ng.2641.txt , 10.1002_ajmg.a.35760.txt , 10.1172_JCI60578.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_onc.2012.579.txt , 10.1158_1078-0432.CCR-13-0780.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt","10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt","10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt"
David Meyerholz,[2015],,,,,,
Timothy P Cripe,"[2008, 2011]",,,,,,
Annabel Parret,[2008],"10.1001_jama.2009.1663.txt , 10.1016_j.ccr.2009.05.009.txt",,,,,
Angela Hadjipanayis,[2006],10.1038_nature11252.txt,,,,,
Bradley Welling,[2014],"10.1093_neuonc_now032.txt , 10.1212_WNL.0000000000002933.txt",,,,,
Kim AeRang,[2009],,,,,,
Brian Schmutzler,[2007],,,,,,
Ernesto Diaz-Flores,[2006],"10.1101_gad.1587907.txt , 10.1126_scisignal.2004125.txt",,,,,
David H Gutmann,"[2008, 2015]",10.1038_nn.3348.txt,,,,,
Maryam Jahanshahi,[2010],"10.1371_journal.pone.0078880.txt , 10.1002_ajmg.a.36312.txt",,,,,
Jean Nakamura,[2013],,,,,,
AeRang Kim,[2015],10.1056_NEJMoa1605943.txt,,,,,
Emmanuelle Di Tomaso,[2007],"10.1056_NEJMoa0902579.txt , 10.1158_0008-5472.CAN-09-3107.txt , 10.1002_ajmg.a.33189.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1593_neo.111600.txt , 10.1038_bjc.2016.354.txt",,,,,
