Key,Publication Year,Author,Title,DOI,Url,Date,File Attachments,pdf location,filename,txt location,txtname,paper abstract
4QL2F7I5,2018,"Stewart, Douglas R; Korf, Bruce R; Nathanson, Katherine L; Stevenson, David A; Yohay, Kaleb",Care of adults with neurofibromatosis type 1: a clinical practice resource of the American College of Medical Genetics and Genomics (ACMG),10.1038/gim.2018.28,http://www.nature.com/doifinder/10.1038/gim.2018.28,4/26/2018,C:\Users\cliu\Zotero\storage\NS6KIV95\Stewart et al. - 2018 - Care of adults with neurofibromatosis type 1 a cl.pdf,grants-analysis-data\papers\pdf\10.1038_gim.2018.28.pdf,10.1038_gim.2018.28.pdf,grants-analysis-data\papers\txt\10.1038_gim.2018.28.txt,10.1038_gim.2018.28.txt,"1) MPNST often arises from a PN. High-grade MPNSTs are usually fatal, frequently from metastasis. (2) Clinical suspicion (progressive, persistent pain, and rapid growth) is key to diagnosis of MPNST. Early detection is essential for improved long-term survival."
AP9HIX3B,2015,"Alcantara Llaguno, Sheila R.; Wang, Zilai; Sun, Daochun; Chen, Jian; Xu, Jing; Kim, Euiseok; Hatanpaa, Kimmo J.; Raisanen, Jack M.; Burns, Dennis K.; Johnson, Jane E.; Parada, Luis F.",Adult Lineage-Restricted CNS Progenitors Specify Distinct Glioblastoma Subtypes,10.1016/j.ccell.2015.09.007,http://linkinghub.elsevier.com/retrieve/pii/S1535610815003384,2015-10,C:\Users\cliu\Zotero\storage\WYULHATA\Alcantara Llaguno et al. - 2015 - Adult Lineage-Restricted CNS Progenitors Specify D.pdf,grants-analysis-data\papers\pdf\10.1016_j.ccell.2015.09.007.pdf,10.1016_j.ccell.2015.09.007.pdf,grants-analysis-data\papers\txt\10.1016_j.ccell.2015.09.007.txt,10.1016_j.ccell.2015.09.007.txt,"A central question in glioblastoma multiforme (GBM) research is the identity of the tumor-initiating cell, and its contribution to the malignant phenotype and genomic state. We examine the potential of adult lineagerestricted progenitors to induce fully penetrant GBM using CNS progenitor-speciﬁc inducible Cre mice to mutate Nf1, Trp53, and Pten. We identify two phenotypically and molecularly distinct GBM subtypes governed by identical driver mutations. We demonstrate that the two subtypes arise from functionally independent pools of adult CNS progenitors. Despite histologic identity as GBM, these tumor types are separable based on the lineage of the tumor-initiating cell. These studies point to the cell of origin as a major determinant of GBM subtype diversity."
3EIIU23C,1992,"Evans, D G; Huson, S M; Donnai, D; Neary, W; Blair, V; Teare, D; Newton, V; Strachan, T; Ramsden, R; Harris, R","A genetic study of type 2 neurofibromatosis in the United Kingdom. I. Prevalence, mutation rate, fitness, and confirmation of maternal transmission effect on severity.",10.1136/jmg.29.12.841,http://jmg.bmj.com/cgi/doi/10.1136/jmg.29.12.841,12/1/1992,C:\Users\cliu\Zotero\storage\IIIA4GNS\Evans et al. - 1992 - A genetic study of type 2 neurofibromatosis in the.pdf,grants-analysis-data\papers\pdf\10.1136_jmg.29.12.841.pdf,10.1136_jmg.29.12.841.pdf,grants-analysis-data\papers\txt\10.1136_jmg.29.12.841.txt,10.1136_jmg.29.12.841.txt,"A clinical and genetic study of type 2 neurofibromatosis (NF2) has been carried out in the United Kingdom. Virtually complete ascertainment of cases in the north-west of England was achieved and suggests a population incidence of 1 in 33 000 to 40 000. In the UK as a whole, 150 cases have been identified and been used to study the clinical and genetic features of NF2. The autosomal dominant inheritance of NF2 was confirmed, 49% of cases were assessed as representing new mutations, and the mutation rate was estimated to be 6 5 x 10-6. Evidence to support a maternal gene effect was found in that age at onset was 18-17 years in 36 maternally inherited cases and 24 5 in 20 paternally inherited cases (p = 0 027). The preponderance of maternally inherited cases was also significant (p = 0-03). Data are presented which suggest that there are two types of NF2, one with later onset and bilateral vestibular schwannomas as the only usual feature, and the other with earlier onset and multiple other tumours. A considerable number of cases did not fall easily into one or other group and other factors such as maternal effect on severity and anticipation need to be considered."
Z3MDAKTD,2017,"Guo, Juanjuan; Liu, Shichang; Shang, Xiaotong; Huang, Shanfang; Wang, Kan",Coupled neutronics/thermal-hydraulics analysis of a full PWR core using RMC and CTF,10.1016/j.anucene.2017.05.041,http://linkinghub.elsevier.com/retrieve/pii/S0306454916311069,2017-11,C:\Users\cliu\Zotero\storage\2TNDITHW\Guo et al. - 2017 - Coupled neutronicsthermal-hydraulics analysis of .pdf,grants-analysis-data\papers\pdf\10.1016_j.anucene.2017.05.041.pdf,10.1016_j.anucene.2017.05.041.pdf,grants-analysis-data\papers\txt\10.1016_j.anucene.2017.05.041.txt,10.1016_j.anucene.2017.05.041.txt,"A hybrid coupled strategy was proposed for a coupled neutronics and thermal-hydraulics analysis of a full PWR core, using the continuous-energy Reactor Monte Carlo code (RMC) and the sub-channel code COBRA-TF (CTF). In the code system with hybrid coupling, CTF was invoked and controlled by RMC internally, without external interface. The On-The-Fly cross sections treatment of RMC was used to reduce the complexity of the coupled code as well as to reduce the memory requirement. The domain decomposition parallel technique was developed in CTF to improve the efﬁciency of full core sub-channel calculations, and the PWR preprocessor of CTF can reduce the complexity of full core modeling establishment. The coupled codes were applied to steady-state simulations of the Benchmark for Evaluation And Validation of Reactor Simulations (BEAVRS) in the hot, full power condition at the full-core level to reveal the effects of the coupling on the full-core power distribution in both axial and radial directions. The inﬂuences of other important parameters including the neutron population and the boron concentration were also investigated. The results proved the effectiveness and high ﬁdelity of the coupled system. More systematic and detailed analyses can be performed based on realistic operating conditions of PWR full core with the coupled codes system."
NHZ44Y9L,2013,"Burbridge, M. F.; Bossard, C. J.; Saunier, C.; Fejes, I.; Bruno, A.; Leonce, S.; Ferry, G.; Da Violante, G.; Bouzom, F.; Cattan, V.; Jacquet-Bescond, A.; Comoglio, P. M.; Lockhart, B. P.; Boutin, J. A.; Cordi, A.; Ortuno, J.-C.; Pierre, A.; Hickman, J. A.; Cruzalegui, F. H.; Depil, S.","S49076 Is a Novel Kinase Inhibitor of MET, AXL, and FGFR with Strong Preclinical Activity Alone and in Association with Bevacizumab",10.1158/1535-7163.MCT-13-0075,http://mct.aacrjournals.org/cgi/doi/10.1158/1535-7163.MCT-13-0075,9/1/2013,"C:\Users\cliu\Zotero\storage\G5X4MYS9\Burbridge et al. - 2013 - S49076 Is a Novel Kinase Inhibitor of MET, AXL, an.pdf",grants-analysis-data\papers\pdf\10.1158_1535-7163.MCT-13-0075.pdf,10.1158_1535-7163.MCT-13-0075.pdf,grants-analysis-data\papers\txt\10.1158_1535-7163.MCT-13-0075.txt,10.1158_1535-7163.MCT-13-0075.txt,"Aberrant activity of the receptor tyrosine kinases MET, AXL, and FGFR1/2/3 has been associated with tumor progression in a wide variety of human malignancies, notably in instances of primary or acquired resistance to existing or emerging anticancer therapies. This study describes the preclinical characterization of S49076, a novel, potent inhibitor of MET, AXL/MER, and FGFR1/2/3. S49076 potently blocked cellular phosphorylation of MET, AXL, and FGFRs and inhibited downstream signaling in vitro and in vivo. In cell models, S49076 inhibited the proliferation of MET- and FGFR2-dependent gastric cancer cells, blocked METdriven migration of lung carcinoma cells, and inhibited colony formation of hepatocarcinoma cells expressing FGFR1/2 and AXL. In tumor xenograft models, a good pharmacokinetic/pharmacodynamic relationship for MET and FGFR2 inhibition following oral administration of S49076 was established and correlated well with impact on tumor growth. MET, AXL, and the FGFRs have all been implicated in resistance to VEGF/VEGFR inhibitors such as bevacizumab. Accordingly, combination of S49076 with bevacizumab in colon carcinoma xenograft models led to near total inhibition of tumor growth. Moreover, S49076 alone caused tumor growth arrest in bevacizumab-resistant tumors. On the basis of these preclinical studies showing a favorable and novel pharmacologic proﬁle of S49076, a phase I study is currently underway in patients with advanced solid tumors. Mol Cancer Ther; 12(9); 1749–62. Ó2013 AACR."
A9LF542N,2015,"Karolak, Matthew R.; Yang, Xiangli; Elefteriou, Florent",FGFR1 signaling in hypertrophic chondrocytes is attenuated by the Ras-GAP neurofibromin during endochondral bone formation,10.1093/hmg/ddv019,https://academic.oup.com/hmg/article-lookup/doi/10.1093/hmg/ddv019,5/1/2015,C:\Users\cliu\Zotero\storage\Z5ESMTQQ\Karolak et al. - 2015 - FGFR1 signaling in hypertrophic chondrocytes is at.pdf,grants-analysis-data\papers\pdf\10.1093_hmg_ddv019.pdf,10.1093_hmg_ddv019.pdf,grants-analysis-data\papers\txt\10.1093_hmg_ddv019.txt,10.1093_hmg_ddv019.txt,"Aberrant ﬁbroblast growth factor receptor 3 (FGFR3) signaling disrupts chondrocyte proliferation and growth plate size and architecture, leading to various chondrodysplasias or bone overgrowth. These observations suggest that the duration, intensity and cellular context of FGFR signaling during growth plate chondrocyte maturation require tight, regulated control for proper bone elongation. However, the machinery ﬁne-tuning FGFR signaling in chondrocytes is incompletely deﬁned. We report here that neuroﬁbromin, a Ras-GAP encoded by Nf1, has an overlapping expression pattern with FGFR1 and FGFR3 in prehypertrophic chondrocytes, and with FGFR1 in hypertrophic chondrocytes during endochondral ossiﬁcation. Based on previous evidence that neuroﬁbromin inhibits Ras-ERK signaling in chondrocytes and phenotypic analogies between mice with constitutive FGFR1 activation and Nf1 deﬁciency in Col2a1-positive chondrocytes, we asked whether neuroﬁbromin is required to control FGFR1Ras-ERK signaling in maturing chondrocytes in vivo. Genetic Nf1 ablation in Fgfr1-deﬁcient chondrocytes reactivated Ras-ERK1/2 signaling in hypertrophic chondrocytes and reversed the expansion of the hypertrophic zone observed in mice lacking Fgfr1 in Col2a1-positive chondrocytes. Histomorphometric and gene expression analyses suggested that neuroﬁbromin, by inhibiting Rankl expression, attenuates pro-osteoclastogenic FGFR1 signaling in hypertrophic chondrocytes. We also provide evidence suggesting that neuroﬁbromin in prehypertrophic chondrocytes, downstream of FGFRs and via an indirect mechanism, is required for normal extension and organization of proliferative columns. Collectively, this study indicates that FGFR signaling provides an important input into the Ras-Raf-MEK-ERK1/2 signaling axis in chondrocytes, and that this input is differentially regulated during chondrocyte maturation by a complex intracellular machinery, of which neuroﬁbromin is a critical component."
VA9IWEUT,2015,"Tabas-Madrid, Daniel; Alves-Cruzeiro, Joao; Segura, Victor; Guruceaga, Elizabeth; Vialas, Vital; Prieto, Gorka; García, Carlos; Corrales, Fernando J.; Albar, Juan Pablo; Pascual-Montano, Alberto",Proteogenomics Dashboard for the Human Proteome Project,10.1021/acs.jproteome.5b00466,http://pubs.acs.org/doi/10.1021/acs.jproteome.5b00466,9/4/2015,C:\Users\cliu\Zotero\storage\3V7QKFH4\Tabas-Madrid et al. - 2015 - Proteogenomics Dashboard for the Human Proteome Pr.pdf,grants-analysis-data\papers\pdf\10.1021_acs.jproteome.5b00466.pdf,10.1021_acs.jproteome.5b00466.pdf,grants-analysis-data\papers\txt\10.1021_acs.jproteome.5b00466.txt,10.1021_acs.jproteome.5b00466.txt,"ABSTRACT: dasHPPboard is a novel proteomics-based dashboard that collects and reports the experiments produced by the Spanish Human Proteome Project consortium (SpHPP) and aims to help HPP to map the entire human proteome. We have followed the strategy of analog genomics projects like the Encyclopedia of DNA Elements (ENCODE), which provides a vast amount of data on human cell lines experiments. The dashboard includes results of shotgun and selected reaction monitoring proteomics experiments, posttranslational modiﬁcations information, as well as proteogenomics studies. We have also processed the transcriptomics data from the ENCODE and Human Body Map (HBM) projects for the identiﬁcation of speciﬁc gene expression patterns in di?erent cell lines and tissues, taking special interest in those genes having little proteomic evidence available (missing proteins). Peptide databases have been built using single nucleotide variants and novel junctions derived from RNA-Seq data that can be used in search engines for sample-speciﬁc protein identiﬁcations on the same cell lines or tissues. The dasHPPboard has been designed as a tool that can be used to share and visualize a combination of proteomic and transcriptomic data, providing at the same time easy access to resources for proteogenomics analyses. The dasHPPboard can be freely accessed at: http:// sphppdashboard.cnb.csic.es."
6PZTQS8H,2014,"Keegan, K.; Li, C.; Li, Z.; Ma, J.; Ragains, M.; Coberly, S.; Hollenback, D.; Eksterowicz, J.; Liang, L.; Weidner, M.; Huard, J.; Wang, X.; Alba, G.; Orf, J.; Lo, M.-C.; Zhao, S.; Ngo, R.; Chen, A.; Liu, L.; Carlson, T.; Queva, C.; McGee, L. R.; Medina, J.; Kamb, A.; Wickramasinghe, D.; Dai, K.","Preclinical Evaluation of AMG 925, a FLT3/CDK4 Dual Kinase Inhibitor for Treating Acute Myeloid Leukemia",10.1158/1535-7163.MCT-13-0858,http://mct.aacrjournals.org/cgi/doi/10.1158/1535-7163.MCT-13-0858,4/1/2014,"C:\Users\cliu\Zotero\storage\RDPFKNJK\Keegan et al. - 2014 - Preclinical Evaluation of AMG 925, a FLT3CDK4 Dua.pdf",grants-analysis-data\papers\pdf\10.1158_1535-7163.MCT-13-0858.pdf,10.1158_1535-7163.MCT-13-0858.pdf,grants-analysis-data\papers\txt\10.1158_1535-7163.MCT-13-0858.txt,10.1158_1535-7163.MCT-13-0858.txt,"Acute myeloid leukemia (AML) remains a serious unmet medical need. Despite high remission rates with chemotherapy standard-of-care treatment, the disease eventually relapses in a major proportion of patients. Activating Fms-like tyrosine kinase 3 (FLT3) mutations are found in approximately 30% of patients with AML. Targeting FLT3 receptor tyrosine kinase has shown encouraging results in treating FLT3-mutated AML. Responses, however, are not sustained and acquired resistance has been a clinical challenge. Treatment options to overcome resistance are currently the focus of research. We report here the preclinical evaluation of AMG 925, a potent, selective, and bioavailable FLT3/cyclin-dependent kinase 4 (CDK4) dual kinase inhibitor. AMG 925 inhibited AML xenograft tumor growth by 96% to 99% without signiﬁcant body weight loss. The antitumor activity of AMG 925 correlated with the inhibition of STAT5 and RB phosphorylation, the pharmacodynamic markers for inhibition of FLT3 and CDK4, respectively. In addition, AMG 925 was also found to inhibit FLT3 mutants (e.g., D835Y) that are resistant to the current FLT3 inhibitors (e.g., AC220 and sorafenib). CDK4 is a cyclin D–dependent kinase that plays an essential central role in regulating cell proliferation in response to external growth signals. A critical role of the CDK4–RB pathway in cancer development has been well established. CDK4-speciﬁc inhibitors are being developed for treating RB-positive cancer. AMG 925, which combines inhibition of two kinases essential for proliferation and survival of FLT3-mutated AML cells, may improve and prolong clinical responses. Mol Cancer Ther; 13(4); 880–9. Ó2014 AACR."
86YF5FXR,2012,"Davies, B. R.; Greenwood, H.; Dudley, P.; Crafter, C.; Yu, D.-H.; Zhang, J.; Li, J.; Gao, B.; Ji, Q.; Maynard, J.; Ricketts, S.-A.; Cross, D.; Cosulich, S.; Chresta, C. C.; Page, K.; Yates, J.; Lane, C.; Watson, R.; Luke, R.; Ogilvie, D.; Pass, M.","Preclinical Pharmacology of AZD5363, an Inhibitor of AKT: Pharmacodynamics, Antitumor Activity, and Correlation of Monotherapy Activity with Genetic Background",10.1158/1535-7163.MCT-11-0824-T,http://mct.aacrjournals.org/cgi/doi/10.1158/1535-7163.MCT-11-0824-T,4/1/2012,"C:\Users\cliu\Zotero\storage\2BT2KQEK\Davies et al. - 2012 - Preclinical Pharmacology of AZD5363, an Inhibitor .pdf",grants-analysis-data\papers\pdf\10.1158_1535-7163.MCT-11-0824-T.pdf,10.1158_1535-7163.MCT-11-0824-T.pdf,grants-analysis-data\papers\txt\10.1158_1535-7163.MCT-11-0824-T.txt,10.1158_1535-7163.MCT-11-0824-T.txt,"AKT is a key node in the most frequently deregulated signaling network in human cancer. AZD5363, a novel pyrrolopyrimidine-derived compound, inhibited all AKT isoforms with a potency of 10 nmol/L or less and inhibited phosphorylation of AKT substrates in cells with a potency of approximately 0.3 to 0.8 mmol/L. AZD5363 monotherapy inhibited the proliferation of 41 of 182 solid and hematologic tumor cell lines with a potency of 3 mmol/L or less. Cell lines derived from breast cancers showed the highest frequency of sensitivity. There was a signiﬁcant relationship between the presence of PIK3CA and/or PTEN mutations and sensitivity to AZD5363 and between RAS mutations and resistance. Oral dosing of AZD5363 to nude mice caused doseand time-dependent reduction of PRAS40, GSK3b, and S6 phosphorylation in BT474c xenografts (PRAS40 phosphorylation EC50 $ 0.1 mmol/L total plasma exposure), reversible increases in blood glucose concentrations, and dose-dependent decreases in 2[18F]ﬂuoro-2-deoxy-D-glucose (18F-FDG) uptake in U87-MG xenografts. Chronic oral dosing of AZD5363 caused dose-dependent growth inhibition of xenografts derived from various tumor types, including HER2? breast cancer models that are resistant to trastuzumab. AZD5363 also signiﬁcantly enhanced the antitumor activity of docetaxel, lapatinib, and trastuzumab in breast cancer xenografts. It is concluded that AZD5363 is a potent inhibitor of AKT with pharmacodynamic activity in vivo, has potential to treat a range of solid and hematologic tumors as monotherapy or a combinatorial agent, and has potential for personalized medicine based on the genetic status of PIK3CA, PTEN, and RAS. AZD5363 is currently in phase I clinical trials. Mol Cancer Ther; 11(4); 873–87. Ó2012 AACR."
2DK7T9VL,2013,"Ilanges, Anoj; Jahanshahi, Maryam; Balobin, Denis M.; Pfleger, Cathie M.",Alcohol Interacts with Genetic Alteration of the Hippo Tumor Suppressor Pathway to Modulate Tissue Growth in Drosophila,10.1371/journal.pone.0078880,http://dx.plos.org/10.1371/journal.pone.0078880,10/21/2013,C:\Users\cliu\Zotero\storage\KBJIP434\Ilanges et al. - 2013 - Alcohol Interacts with Genetic Alteration of the H.pdf,grants-analysis-data\papers\pdf\10.1371_journal.pone.0078880.pdf,10.1371_journal.pone.0078880.pdf,grants-analysis-data\papers\txt\10.1371_journal.pone.0078880.txt,10.1371_journal.pone.0078880.txt,"Alcohol-mediated cancers represent more than 3.5% of cancer-related deaths, yet how alcohol promotes cancer is a major open question. Using Drosophila, we identified novel interactions between dietary ethanol and loss of tumor suppressor components of the Hippo Pathway. The Hippo Pathway suppresses tumors in flies and mammals by inactivating transcriptional co-activator Yorkie, and the spectrum of cancers associated with impaired Hippo signaling overlaps strikingly with those associated with alcohol. Therefore, our findings may implicate loss of Hippo Pathway tumor suppression in alcohol-mediated cancers. Ethanol enhanced overgrowth from loss of the expanded, hippo, or warts tumor suppressors but, surprisingly, not from over-expressing the yorkie oncogene. We propose that in parallel to Yorkie-dependent overgrowth, impairing Hippo signaling in the presence of alcohol may promote overgrowth via additional alcohol-relevant targets. We also identified interactions between alcohol and Hippo Pathway overactivation. We propose that exceeding certain thresholds of alcohol exposure activates Hippo signaling to maintain proper growth control and prevent alcohol-mediated mis-patterning and tissue overgrowth."
