grant number,researcher,grant start year,paper ID
2010B-05-007,A Thomas Look,2010,10.7554_eLife.14713.txt
2015B-05-004,A Thomas Look, 2015,10.7554_eLife.14713.txt
2008-01-H,Aaron Schindeler,2008,"10.1002_ajmg.a.33045.txt , 10.1007_s11832-010-0293-3.txt , 10.1002_ajmg.a.33189.txt , 10.1186_1471-2474-11-105.txt , 10.1016_j.bone.2011.09.043.txt , 10.1002_jbmr.528.txt , 10.1093_hmg_ddt515.txt , 10.1002_ajmg.a.36754.txt , 10.1002_jor.22628.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.ymgme.2018.02.009.txt"
2013B-05-004,Aaron Schindeler, 2013,"10.1093_hmg_ddt515.txt , 10.1002_ajmg.a.36754.txt , 10.1002_jor.22628.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.ymgme.2018.02.009.txt"
2006-05-B,Abhijit Guha,2006,"10.1111_j.1349-7006.2010.01616.x.txt , 10.1093_neuonc_nor080.txt , 10.1158_1078-0432.CCR-10-1551.txt , 10.1002_humu.22044.txt"
2007-05-Y,Abraham Jacob,2007,"10.1158_1078-0432.CCR-08-3011.txt , 10.1093_neuonc_nor072.txt , 10.1002_ajmg.a.34359.txt , 10.1158_0008-5472.CAN-12-1888.txt"
2011-01-018,Adrienne Watson,2011,"10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt"
2014-10-007,AeRang Kim,2015,10.1056_NEJMoa1605943.txt
2013-04-005,Alberto Pasqual-Montano,2013,
2011-01-016,Alejandra M Petrilli Guinart,2011,
2012-01-033,Alexander Schulz,2012,"10.1038_nn.3348.txt , 10.1093_brain_awt327.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1186_s40478-014-0082-1.txt , 10.1007_s00401-016-1583-8.txt , 10.1371_journal.pone.0159718.txt"
2015-05-010,Alexander Schulz, 2015,"10.1007_s00401-016-1583-8.txt , 10.1371_journal.pone.0159718.txt"
2009-04-001_ext,Allen Belzberg,2009,
2009-04-002,Allen Belzberg, 2012,
2015-04-003,Allen Belzberg, 2015,
2012-04-003,Amanda Bergner,2012,"10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_ng.2855.txt , 10.1212_WNL.0000000000002927.txt"
2012-01-037,Amish Patel,2012,
2009-01-014,Ana Olivera,2009,
2013-10-004,Ana-Maria Vranceanu,2013,"10.1007_s11060-014-1522-2.txt , 10.1212_WNL.0000000000002927.txt"
2014-10-006,Ana-Maria Vranceanu, 2014,"10.1007_s11060-014-1522-2.txt , 10.1212_WNL.0000000000002927.txt"
2015-10-010,Ana-Maria Vranceanu, 2016,10.1212_WNL.0000000000002927.txt
2011-10-010,Anat Stemmer-Rachamimov,2012,"10.1634_theoncologist.2012-0162.txt , 10.1007_s00401-011-0905-0.txt , 10.1126_scisignal.2004060.txt , 10.1089_hum.2012.094.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1093_hmg_ddu414.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt , 10.1038_s41467-017-00346-5.txt , 10.1016_j.expneurol.2017.09.008.txt , 10.18632_oncotarget.4858.txt"
2013-04-007,Anat Stemmer-Rachamimov, 2014,"10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1093_hmg_ddu414.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt , 10.1038_s41467-017-00346-5.txt , 10.1016_j.expneurol.2017.09.008.txt , 10.18632_oncotarget.4858.txt"
